g6,n,lam1,mu,gap1,lam2,hc,gap2,pi,diam,k,delta_k,gap3
GsaCC?,8,2.6457513110645907,1,0.0,0.0,1.75,-1.75,1.0,2,1,12.557438524302004,-13.557438524302004
HsaCCA?,9,2.8284271247461903,1,0.0,0.0,1.7777777777777777,-1.7777777777777777,1.0,2,1,14.549834435270748,-15.549834435270748
JsaCCA?_C??,11,3.1622776601683795,1,0.0,0.0,1.8181818181818183,-1.8181818181818183,1.0,2,1,18.539392014169458,-19.539392014169458
KsaCCA?_C?O?,12,3.3166247903554003,1,0.0,0.0,1.8333333333333333,-1.8333333333333333,1.0,2,1,20.53565375285274,-21.53565375285274
LsaCCA?_C?O?_?,13,3.4641016151377544,1,0.0,0.0,1.8461538461538463,-1.8461538461538463,1.0,2,1,22.532562594670804,-23.532562594670804
MsaCCA?_C?O?_?_??,14,3.6055512754639887,1,8.881784197001252e-16,0.0,1.857142857142857,-1.857142857142857,1.0,2,1,24.52996408614167,-25.52996408614167
NsaCCA?_C?O?_?_?O??,15,3.7416573867739413,1,0.0,0.0,1.8666666666666667,-1.8666666666666667,1.0,2,1,26.52774925846869,-27.52774925846869
OsaCCA?_C?O?_?_?O?C??,16,3.872983346207417,1,0.0,0.0,1.875,-1.875,1.0,2,1,28.52583904633395,-29.52583904633395
PsaCCA?_C?O?_?_?O?C??_??,17,3.9999999999999996,1,0.0,0.0,1.8823529411764706,-1.8823529411764706,1.0,2,1,30.52417469626003,-31.52417469626003
QsaCCA?_C?O?_?_?O?C??_?A???,18,4.123105625617661,1,0.0,0.0,1.8888888888888888,-1.8888888888888888,1.0,2,1,32.52271164185832,-33.52271164185832
RsaCCA?_C?O?_?_?O?C??_?A??C???,19,4.242640687119286,1,-8.881784197001252e-16,0.0,1.894736842105263,-1.894736842105263,1.0,2,1,34.52141546793522,-35.52141546793522
SsaCCA?_C?O?_?_?O?C??_?A??C??C???,20,4.358898943540673,1,8.881784197001252e-16,0.0,1.9000000000000001,-1.9000000000000001,1.0,2,1,36.52025917745215,-37.52025917745215
TsaCCA?_C?O?_?_?O?C??_?A??C??C??A???,21,4.47213595499958,1,0.0,0.0,1.9047619047619047,-1.9047619047619047,1.0,2,1,38.51922129594313,-39.51922129594313
UsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_???,22,4.582575694955841,1,-8.881784197001252e-16,0.0,1.9090909090909092,-1.9090909090909092,1.0,2,1,40.518284528683196,-41.518284528683196
VsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C????,23,4.69041575982343,1,0.0,0.0,1.9130434782608696,-1.9130434782608696,1.0,2,1,42.51743479135002,-43.51743479135002
WsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???,24,4.795831523312719,1,0.0,0.0,1.9166666666666665,-1.9166666666666665,1.0,2,1,44.51666049839539,-45.51666049839539
XsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???,25,4.898979485566356,1,0.0,0.0,1.92,-1.92,1.0,2,1,46.51595203260975,-47.51595203260975
YsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_????,26,5.0,1,0.0,0.0,1.9230769230769231,-1.9230769230769231,1.0,2,1,48.51530134426256,-49.51530134426256
ZsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O????,27,5.099019513592785,1,-8.881784197001252e-16,0.0,1.9259259259259258,-1.9259259259259258,1.0,2,1,50.51470164434615,-51.51470164434615
[saCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????,28,5.196152422706632,1,0.0,0.0,1.9285714285714284,-1.9285714285714284,1.0,2,1,52.514147167125685,-53.514147167125685
\saCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_????,29,5.291502622129181,1,0.0,0.0,1.9310344827586206,-1.9310344827586206,1.0,2,1,54.51363298439522,-55.51363298439522
]saCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A?????,30,5.385164807134505,1,-8.881784197001252e-16,0.0,1.9333333333333333,-1.9333333333333333,1.0,2,1,56.51315485876649,-57.51315485876649
^saCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C?????,31,5.477225575051661,1,0.0,0.0,1.935483870967742,-1.935483870967742,1.0,2,1,58.51270912674743,-59.51270912674743
_saCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C?????,32,5.5677643628300215,1,0.0,0.0,1.9375,-1.9375,1.0,2,1,60.51229260478471,-61.51229260478471
`saCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????,33,5.65685424949238,1,8.881784197001252e-16,0.0,1.9393939393939394,-1.9393939393939394,1.0,2,1,62.5119025131775,-63.5119025131775
asaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_?????,34,5.7445626465380295,1,-8.881784197001252e-16,0.0,1.9411764705882353,-1.9411764705882353,1.0,2,1,64.51153641401767,-65.51153641401767
bsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C??????,35,5.8309518948453,1,8.881784197001252e-16,0.0,1.9428571428571428,-1.9428571428571428,1.0,2,1,66.51119216023208,-67.51119216023208
csaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????,36,5.916079783099616,1,0.0,0.0,1.9444444444444444,-1.9444444444444444,1.0,2,1,68.51086785347479,-69.51086785347479
dsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????,37,6.0,1,0.0,0.0,1.945945945945946,-1.945945945945946,1.0,2,1,70.51056180912938,-71.51056180912938
esaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_??????,38,6.0827625302982185,1,8.881784197001252e-16,0.0,1.9473684210526314,-1.9473684210526314,1.0,2,1,72.5102725270574,-73.5102725270574
fsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O??????,39,6.164414002968976,1,0.0,0.0,1.9487179487179487,-1.9487179487179487,1.0,2,1,74.50999866702217,-75.50999866702217
gsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????,40,6.244997998398397,1,8.881784197001252e-16,0.0,1.9500000000000002,-1.9500000000000002,1.0,2,1,76.5097390279394,-77.5097390279394
hsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_??????,41,6.324555320336759,1,0.0,0.0,1.951219512195122,-1.951219512195122,1.0,2,1,78.50949253027676,-79.50949253027676
isaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A???????,42,6.4031242374328485,1,0.0,0.0,1.9523809523809523,-1.9523809523809523,1.0,2,1,80.50925820105819,-81.50925820105819
jsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C???????,43,6.480740698407861,1,-8.881784197001252e-16,0.0,1.9534883720930232,-1.9534883720930232,1.0,2,1,82.50903516103452,-83.50903516103452
ksaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C???????,44,6.557438524302,1,0.0,0.0,1.9545454545454546,-1.9545454545454546,1.0,2,1,84.5088226136645,-85.5088226136645
lsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????,45,6.6332495807108,1,0.0,0.0,1.9555555555555557,-1.9555555555555557,1.0,2,1,86.50861983561411,-87.50861983561411
msaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_???????,46,6.7082039324993685,1,8.881784197001252e-16,0.0,1.9565217391304348,-1.9565217391304348,1.0,2,1,88.50842616853588,-89.50842616853588
nsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C????????,47,6.782329983125268,1,0.0,0.0,1.9574468085106382,-1.9574468085106382,1.0,2,1,90.50824101193096,-91.50824101193096
osaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????,48,6.855654600401045,1,-8.881784197001252e-16,0.0,1.9583333333333333,-1.9583333333333333,1.0,2,1,92.50806381693403,-93.50806381693403
psaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????,49,6.928203230275508,1,8.881784197001252e-16,0.0,1.9591836734693877,-1.9591836734693877,1.0,2,1,94.50789408087887,-95.50789408087887
qsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_????????,50,7.0,1,0.0,0.0,1.96,-1.96,1.0,2,1,96.50773134253959,-97.50773134253959
rsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O????????,51,7.0710678118654755,1,0.0,0.0,1.9607843137254901,-1.9607843137254901,1.0,2,1,98.50757517794624,-99.50757517794624
ssaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????,52,7.14142842854285,1,0.0,0.0,1.9615384615384617,-1.9615384615384617,1.0,2,1,100.50742519669762,-101.50742519669762
tsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_????????,53,7.211102550927979,1,0.0,0.0,1.9622641509433962,-1.9622641509433962,1.0,2,1,102.50728103870364,-103.50728103870364
usaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A?????????,54,7.280109889280518,1,0.0,0.0,1.9629629629629628,-1.9629629629629628,1.0,2,1,104.50714237130029,-105.50714237130029
vsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C?????????,55,7.3484692283495345,1,0.0,0.0,1.9636363636363636,-1.9636363636363636,1.0,2,1,106.50700888668693,-107.50700888668693
wsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C?????????,56,7.416198487095664,1,0.0,0.0,1.9642857142857142,-1.9642857142857142,1.0,2,1,108.50688029964664,-109.50688029964664
xsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????,57,7.483314773547883,1,0.0,0.0,1.9649122807017543,-1.9649122807017543,1.0,2,1,110.5067563455117,-111.5067563455117
ysaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_?????????,58,7.54983443527075,1,0.0,0.0,1.9655172413793103,-1.9655172413793103,1.0,2,1,112.50663677834672,-113.50663677834672
zsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C??????????,59,7.615773105863909,1,0.0,0.0,1.9661016949152543,-1.9661016949152543,1.0,2,1,114.5065213693195,-115.5065213693195
{saCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????,60,7.681145747868609,1,0.0,0.0,1.9666666666666666,-1.9666666666666666,1.0,2,1,116.50640990524035,-117.50640990524035
|saCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????,61,7.745966692414833,1,1.7763568394002505e-15,0.0,1.9672131147540985,-1.9672131147540985,1.0,2,1,118.50630218724747,-119.50630218724747
}saCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_??????????,62,7.810249675906655,1,0.0,0.0,1.967741935483871,-1.967741935483871,1.0,2,1,120.50619802962348,-121.50619802962348
~??~saCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O??????????,63,7.874007874011811,1,0.0,0.0,1.9682539682539681,-1.9682539682539681,1.0,2,1,122.50609725872712,-123.50609725872712
~?@?saCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????,64,7.937253933193772,1,0.0,0.0,1.96875,-1.96875,1.0,2,1,124.5059997120277,-125.5059997120277
~?@@saCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_??????????,65,8.000000000000002,1,-1.7763568394002505e-15,0.0,1.9692307692307693,-1.9692307692307693,1.0,2,1,126.50590523722963,-127.50590523722963
~?@AsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A???????????,66,8.06225774829855,1,0.0,0.0,1.9696969696969697,-1.9696969696969697,1.0,2,1,128.50581369148065,-129.50581369148065
~?@BsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C???????????,67,8.124038404635959,1,1.7763568394002505e-15,0.0,1.9701492537313432,-1.9701492537313432,1.0,2,1,130.50572494064926,-131.50572494064926
~?@CsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C???????????,68,8.18535277187245,1,0.0,0.0,1.9705882352941175,-1.9705882352941175,1.0,2,1,132.50563885867135,-133.50563885867135
~?@DsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????,69,8.246211251235321,1,0.0,0.0,1.9710144927536233,-1.9710144927536233,1.0,2,1,134.5055553269507,-135.5055553269507
~?@EsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_???????????,70,8.306623862918075,1,0.0,0.0,1.9714285714285713,-1.9714285714285713,1.0,2,1,136.5054742338158,-137.5054742338158
~?@FsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C????????????,71,8.366600265340756,1,0.0,0.0,1.971830985915493,-1.971830985915493,1.0,2,1,138.5053954740207,-139.5053954740207
~?@GsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????,72,8.426149773176357,1,1.7763568394002505e-15,0.0,1.972222222222222,-1.972222222222222,1.0,2,1,140.50531894828939,-141.50531894828939
~?@HsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????_???????????,73,8.485281374238571,1,-1.7763568394002505e-15,0.0,1.9726027397260273,-1.9726027397260273,1.0,2,1,142.50524456289907,-143.50524456289907
~?@IsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????_???????????_????????????,74,8.54400374531753,1,0.0,0.0,1.972972972972973,-1.972972972972973,1.0,2,1,144.5051722292968,-145.5051722292968
~?@JsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????_???????????_???????????O????????????,75,8.602325267042625,1,1.7763568394002505e-15,0.0,1.9733333333333334,-1.9733333333333334,1.0,2,1,146.50510186374834,-147.50510186374834
~?@KsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????_???????????_???????????O???????????C????????????,76,8.660254037844387,1,0.0,0.0,1.9736842105263157,-1.9736842105263157,1.0,2,1,148.50503338701367,-149.50503338701367
~?@LsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????_???????????_???????????O???????????C????????????_????????????,77,8.717797887081348,1,0.0,0.0,1.9740259740259742,-1.9740259740259742,1.0,2,1,150.50496672405046,-151.50496672405046
~?@MsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????_???????????_???????????O???????????C????????????_???????????A?????????????,78,8.774964387392123,1,0.0,0.0,1.9743589743589742,-1.9743589743589742,1.0,2,1,152.5049018037409,-153.5049018037409
~?@NsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????_???????????_???????????O???????????C????????????_???????????A????????????C?????????????,79,8.831760866327848,1,0.0,0.0,1.9746835443037973,-1.9746835443037973,1.0,2,1,154.50483855863462,-155.50483855863462
~?@OsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????_???????????_???????????O???????????C????????????_???????????A????????????C????????????C?????????????,80,8.888194417315589,1,0.0,0.0,1.975,-1.975,1.0,2,1,156.50477692471958,-157.50477692471958
~?@PsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????_???????????_???????????O???????????C????????????_???????????A????????????C????????????C????????????A?????????????,81,8.94427190999916,1,0.0,0.0,1.9753086419753085,-1.9753086419753085,1.0,2,1,158.50471684120376,-159.50471684120376
~?@QsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????_???????????_???????????O???????????C????????????_???????????A????????????C????????????C????????????A?????????????_?????????????,82,9.0,1,0.0,0.0,1.975609756097561,-1.975609756097561,1.0,2,1,160.5046582503149,-161.5046582503149
~?@RsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????_???????????_???????????O???????????C????????????_???????????A????????????C????????????C????????????A?????????????_????????????C??????????????,83,9.055385138137417,1,0.0,0.0,1.9759036144578315,-1.9759036144578315,1.0,2,1,162.50460109711605,-163.50460109711605
~?@SsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O???????_???????_???????O???????C????????_???????A????????C????????C????????A?????????_????????C?????????O?????????_?????????_?????????O?????????C??????????_?????????A??????????C??????????C??????????A???????????_??????????C???????????O???????????_???????????_???????????O???????????C????????????_???????????A????????????C????????????C????????????A?????????????_????????????C?????????????O?????????????,84,9.1104335791443,1,0.0,0.0,1.976190476190476,-1.976190476190476,1.0,2,1,164.50454532933327,-165.50454532933327
